0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149
0.0,1.8827799139796941,0.0,35.094906262129044,0.0,-12.021179715364715,-5.020502588638844,0.0,-138.49527137761967,0.0,1.5830160507844602,0.0,-1.8827799139796941,0.0,-35.094906262129044,0.0,12.021179715364715,5.020502588638844,0.0,138.49527137761967,0.0,-1.5830160507844602,-1.0,0.37238124552412344,0.0,0.0,0.0,0.0,1.2037572697459307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4279045259044758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1670408055756756,0.0,0.0,0.0,-1.934836898395165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.37238124552412344,0.0,0.0,0.0,0.0,-1.2037572697459307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4279045259044758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1670408055756756,0.0,0.0,0.0,1.934836898395165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07178090780648294
0.0,4.739269489983865e-06,0.0,-0.00018670213005483958,0.0,-0.0001761939199788198,-3.180939546962783e-05,-1.0,0.00016282953245949538,0.0,8.402960394252708e-05,0.0,-4.739269489983865e-06,0.0,0.00018670213005483958,0.0,0.0001761939199788198,3.180939546962783e-05,1.0,-0.00016282953245949538,0.0,-8.402960394252708e-05,0.0,-6.452151628083928e-05,0.0,0.0,0.0,0.0,3.1365654449123714e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0771067022690598e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.121796491349112e-06,0.0,0.0,0.0,-4.183380483686184e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.452151628083928e-05,0.0,0.0,0.0,0.0,-3.1365654449123714e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0771067022690598e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.121796491349112e-06,0.0,0.0,0.0,4.183380483686184e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.949369440496386e-06
0.0,0.11358331143597358,0.0,-17.55617567387158,0.0,-2.3159207379509037,-0.5543839940802534,0.0,3.75435145594426,0.0,1.048735024188139,0.0,-0.11358331143597358,0.0,17.55617567387158,0.0,2.3159207379509037,0.5543839940802534,0.0,-3.75435145594426,0.0,-1.048735024188139,0.0,0.005191072693918452,-1.0,0.0,0.0,0.0,0.4144822084419708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02581438896272127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053826128786907304,0.0,0.0,0.0,-0.7124661376111592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005191072693918452,1.0,0.0,0.0,0.0,-0.4144822084419708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02581438896272127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.053826128786907304,0.0,0.0,0.0,0.7124661376111592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03614263832911656
0.0,-0.3497075859406689,0.0,28.059658948449332,0.0,-4.342576790019472,-2.638800601221695,0.0,15.09362396598047,0.0,4.1322863721562655,0.0,0.3497075859406689,0.0,-28.059658948449332,0.0,4.342576790019472,2.638800601221695,0.0,-15.09362396598047,0.0,-4.1322863721562655,0.0,0.015184872622043866,0.0,-1.0,0.0,0.0,1.308136583842264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07947899680469747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14255685731116838,0.0,0.0,0.0,-1.593553268572893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015184872622043866,0.0,1.0,0.0,0.0,-1.308136583842264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07947899680469747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14255685731116838,0.0,0.0,0.0,1.593553268572893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1645442842016657
0.0,0.07588335620575079,0.0,-2.22989636602148,0.0,0.08108557325144233,0.08969184580062414,0.0,-1.9378733408113218,0.0,-0.31350158333197764,0.0,-0.07588335620575079,0.0,2.22989636602148,0.0,-0.08108557325144233,-0.08969184580062414,0.0,1.9378733408113218,0.0,0.31350158333197764,0.0,0.0031708730934500075,0.0,0.0,-1.0,0.0,-0.07663049456119807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01724621731948881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010721189718985837,0.0,0.0,0.0,0.14970796681572704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0031708730934500075,0.0,0.0,1.0,0.0,0.07663049456119807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01724621731948881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010721189718985837,0.0,0.0,0.0,-0.14970796681572704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016896024913296764
0.0,-0.022105089622659765,0.0,9.579139990337143,0.0,-2.0384744956006995,-0.6762945388551392,0.0,-60.0373990178628,0.0,0.9737603441066965,0.0,0.022105089622659765,0.0,-9.579139990337143,0.0,2.0384744956006995,0.6762945388551392,0.0,60.0373990178628,0.0,-0.9737603441066965,0.0,0.03213281525240563,0.0,0.0,0.0,-1.0,0.3788962144847623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0050238840051499475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0377459126297582,0.0,0.0,0.0,-0.4840979774135535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03213281525240563,0.0,0.0,0.0,1.0,-0.3788962144847623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0050238840051499475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0377459126297582,0.0,0.0,0.0,0.4840979774135535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5223917401963745
-1.0,-0.04358949641578634,0.0,3.8158248499140193,0.0,-0.6665425316848261,-0.31391595281047024,0.0,2.392288880775421,0.0,0.45119938184557357,1.0,0.04358949641578634,0.0,-3.8158248499140193,0.0,0.6665425316848261,0.31391595281047024,0.0,-2.392288880775421,0.0,-0.45119938184557357,0.0,0.0013258160259577412,0.0,0.0,0.0,0.0,0.15444251974340392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00990670373086053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019298502461570496,0.0,0.0,0.0,-0.27986203620338346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013258160259577412,0.0,0.0,0.0,0.0,-0.15444251974340392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00990670373086053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019298502461570496,0.0,0.0,0.0,0.27986203620338346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017720994544159967
0.0,2.2649013253461066,0.0,47.221762854518985,0.0,6.779924433524113,-0.21931632647122212,0.0,-29.312370913898903,0.0,-11.808100231684998,0.0,-2.2649013253461066,0.0,-47.221762854518985,0.0,-6.779924433524113,0.21931632647122212,0.0,29.312370913898903,0.0,11.808100231684998,0.0,-0.022134317700736577,0.0,0.0,0.0,0.0,-1.9445440138808463,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5147503012150242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10743812412405251,0.0,0.0,0.0,3.30517677339616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022134317700736577,0.0,0.0,0.0,0.0,1.9445440138808463,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5147503012150242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10743812412405251,0.0,0.0,0.0,-3.30517677339616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2215767642894191
0.0,-122.33014740501932,0.0,-658.104735535548,0.0,113.18440442621342,15.790543842390036,0.0,-404.58131955387427,0.0,-77.90269154083053,0.0,122.33014740501932,0.0,658.104735535548,0.0,-113.18440442621342,-15.790543842390036,0.0,404.58131955387427,0.0,77.90269154083053,0.0,-0.21985962667753248,0.0,0.0,0.0,0.0,-26.127502946421277,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7204210443137884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.572841869821376,0.0,0.0,0.0,47.10399004280708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21985962667753248,0.0,0.0,0.0,0.0,26.127502946421277,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7204210443137884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.572841869821376,0.0,0.0,0.0,-47.10399004280708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4953249440671246
0.0,-0.11641020868553043,0.0,-1021.9754838714542,0.0,-16.07513261527123,-1.459876353244022,0.0,30.506002288737673,0.0,10.710976214555508,0.0,0.11641020868553043,0.0,1021.9754838714542,0.0,16.07513261527123,1.459876353244022,0.0,-30.506002288737673,0.0,-10.710976214555508,0.0,0.21403981157593957,0.0,0.0,0.0,0.0,3.6780702389208466,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.026456865610347824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0498677365480922,0.0,0.0,0.0,-4.370265889555915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21403981157593957,0.0,0.0,0.0,0.0,-3.6780702389208466,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026456865610347824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0498677365480922,0.0,0.0,0.0,4.370265889555915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6490922854076489
0.0,-0.07968625921749588,0.0,6.108239138968526,0.0,-2.570223530477025,-1.058817664252658,0.0,-15.05994641356467,0.0,1.1465817436022872,0.0,0.07968625921749588,0.0,-6.108239138968526,0.0,2.570223530477025,1.058817664252658,0.0,15.05994641356467,0.0,-1.1465817436022872,0.0,0.05270049551530366,0.0,0.0,0.0,0.0,0.5265863007440852,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.018110513458521785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07246785205576742,0.0,0.0,0.0,-0.7190239476743475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05270049551530366,0.0,0.0,0.0,0.0,-0.5265863007440852,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018110513458521785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07246785205576742,0.0,0.0,0.0,0.7190239476743475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26075836228196175
0.0,-0.583449528600816,0.0,58.61837084205209,0.0,-10.308131096658562,-2.1691737772837767,0.0,30.227495479372443,0.0,7.716990220727459,0.0,0.583449528600816,0.0,-58.61837084205209,0.0,10.308131096658562,2.1691737772837767,0.0,-30.227495479372443,0.0,-7.716990220727459,0.0,0.021600535274541203,0.0,0.0,0.0,0.0,2.457408842749417,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13260216559109456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26649209700904175,0.0,0.0,0.0,-3.503728756654639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021600535274541203,0.0,0.0,0.0,0.0,-2.457408842749417,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13260216559109456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.26649209700904175,0.0,0.0,0.0,3.503728756654639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.229776416968212
0.0,-0.678063319255712,0.0,57.245583715874346,0.0,-8.876992071517954,-2.723576401489458,0.0,30.177221871755805,0.0,8.186634094348403,0.0,0.678063319255712,0.0,-57.245583715874346,0.0,8.876992071517954,2.723576401489458,0.0,-30.177221871755805,0.0,-8.186634094348403,0.0,0.02360562209182994,0.0,0.0,0.0,0.0,2.6170952511975316,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1541052998308436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26646903782462383,0.0,0.0,0.0,-3.5230350814252764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02360562209182994,0.0,0.0,0.0,0.0,-2.6170952511975316,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1541052998308436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.26646903782462383,0.0,0.0,0.0,3.5230350814252764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13362415096901709
0.0,-0.1339755873580759,0.0,15.288022470099577,0.0,-2.1428024962716234,-0.8329467950261932,0.0,8.760899980543533,0.0,1.878461775119206,0.0,0.1339755873580759,0.0,-15.288022470099577,0.0,2.1428024962716234,0.8329467950261932,0.0,-8.760899980543533,0.0,-1.878461775119206,0.0,0.005971744092276692,0.0,0.0,0.0,0.0,0.6284308768447004,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03044899712683543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07084123690824992,0.0,0.0,0.0,-0.9563029512161934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005971744092276692,0.0,0.0,0.0,0.0,-0.6284308768447004,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03044899712683543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07084123690824992,0.0,0.0,0.0,0.9563029512161934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31912772639441744
0.0,-0.06400462832739526,0.0,30.973852032181533,0.0,-5.679921630421952,-1.197635951206959,0.0,-55.936803668243954,0.0,3.551030122801161,0.0,0.06400462832739526,0.0,-30.973852032181533,0.0,5.679921630421952,1.197635951206959,0.0,55.936803668243954,0.0,-3.551030122801161,0.0,0.015063191394043992,0.0,0.0,0.0,0.0,1.1872619019934443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01454650643804438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12932122164600737,0.0,0.0,0.0,-1.6685663694158275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015063191394043992,0.0,0.0,0.0,0.0,-1.1872619019934443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01454650643804438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12932122164600737,0.0,0.0,0.0,1.6685663694158275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4772910775811686
